Species;Rindorf_precautionary_F;Cheung_vulnerabilty;
Isurus paucus ;;76;
Joturus pichardi ;;45;
Kathetostoma giganteum ;;52;
Katsuwonus pelamis ;;55;
Konosirus punctatus ;;24;
Kyphosus cinerascens ;;47;
Labrus bergylta ;3.16;37;
Labrus merula ;;37;
Labrus mixtus  ;20;;
Lactarius lactarius ;;19;
Lamna nasus ;0.39;66;
Lampanyctus crocodilus  ;3.16;;
Lampanyctodes hectoris ;;31;
Lampris guttatus ;;90;
Larimichthys polyactis ;;59;
Lateolabrax japonicus ;;62;
Lates calcarifer ;;58;
Leiostomus xanthurus ;;20;
Lepidocybium flavobrunneum ;;90;
Lepidion eques  ;1.28;;
Lepidonotothen squamifrons ;;70;
Lepidoperca pulchella ;;33;
Lepidopsetta bilineata ;;67;
Lepidopus caudatus ;1;77;
Lepidorhombus boscii ;0.53;42;
Lepidorhombus whiffiagonis ;0.35;42;
Lepidorhynchus denticulatus ;;40;
Lepidotrigla cavillone  ;20;;
Lepidotrigla dieuzeidei ;20;51;
Leptagonus decagonus  ;20;;
Leptoclinus maculatus  ;14.2;;
Lestidiops jayakari  ;8.97;;
Lesueurigobius friesii  ;20;;
Lesueurigobius sanzi  ;20;;
Lethrinus atlanticus ;;53;
Leucoraja circularis ;0.2;69;
Leucoraja erinacea ;;17;
Leucoraja fullonica ;0.2;69;
Leucoraja garmani ;;17;
Leucoraja naevus ;0.32;62;
Lichia amia ;;90;
Limanda aspera ;;40;
Limanda ferruginea ;;33;
Limanda limanda ;2.53;33;
Lithognathus lithognathus ;;53;
Lithognathus mormyrus ;20;53;
Liza saliens ;;57;
Lobotes surinamensis ;;68;
Lophius americanus ;0.22;72;
Lophius budegassa ;0.16;50;
Lophius piscatorius ;;65;
Lophius vaillanti ;;50;
Lophius vomerinus ;;72;
Lopholatilus chamaeleonticeps ;;58;
Lota lota ;;75;
Lumpenus lampretaeformis  ;2.13;;
Lutjanus argentimaculatus ;;42;
Lutjanus argentiventris ;;42;
Lutjanus campechanus ;;45;
Lutjanus purpureus ;;48;
Lutjanus synagris ;;42;
Lycenchelys sarsi  ;20;;
Lycodes gracilis  ;20;;
Lycodes vahlii  ;1.16;;
Macquaria ambigua ;;62;
Macrodon ancylodon ;;35;
Macroparalepis affinis;1.28;;
Macroramphosus scolopax ;20;28;
Macrourus berglax ;0.28;70;
Macrourus whitsoni ;;70;
Macruronus magellanicus ;;71;
Macruronus novaezelandiae ;;71;
Makaira indica ;;62;
Makaira mazara ;;64;
Makaira nigricans ;;62;
Malacocephalus laevis  ;0.8;;
Mallotus villosus ;;49;
Maurolicus muelleri ;20;30;
Megalaspis cordyla ;;60;
Megalops atlanticus ;;84;
Megalops cyprinoides ;;84;
Melamphaes leprus ;;51;
Melanogrammus aeglefinus ;8.87;47;
Mene maculata ;;23;
Menidia menidia ;;10;
Menticirrhus littoralis ;;29;
Menticirrhus saxatilis ;;29;
Merlangius merlangus ;0.78;41;
Merluccius australis ;;59;
Merluccius bilinearis ;;48;
Merluccius capensis ;;59;
Merluccius gayi gayi ;;51;
Merluccius gayi peruanus ;;57;
Merluccius hubbsi ;;53;
Merluccius merluccius ;0.49;57;
Merluccius polli ;;48;
Merluccius productus ;;48;
Merluccius senegalensis ;;58;
Meuschenia scaber ;;17;
Micrenophrys lilljeborgii  ;20;;
Microchirus azevia  ;1.89;;
Microchirus boscanion  ;20;;
Microchirus variegatus  ;18.33;;
Microgadus proximus ;;24;
Microgadus tomcod ;;24;
Micromesistius australis ;;45;
Micromesistius poutassou ;3.45;45;
Micropogonias furnieri ;;25;
Micropogonias undulatus ;;25;
Microstomus kitt ;2;40;
Microstomus pacificus ;;40;
Mola mola ;1.08;71;
Molva dypterygia ;0.2;75;
Molva macrophthalma  ;0.34;;
Molva molva ;0.18;75;
Monochirus hispidus  ;20;;
Mora moro ;0.26;53;
Morone americana ;;54;
Morone saxatilis ;;54;
Mugil cephalus ;2.08;49;
Mugil liza ;;58;
Mugil soiuy ;;49;
Mullus barbatus ;;44;
Mullus surmuletus ;7.63;44;
Muraenesox cinereus ;;90;
Muraenolepis microps ;;27;
Mustelus asterias  ;0.33;;
Mustelus henlei ;;53;
Mustelus lenticulatus ;;53;
Mustelus mustelus ;0.33;56;
Mustelus schmitti ;;53;
Mycteroperca bonaci ;;53;
Mycteroperca microlepis ;;53;
Mycteroperca phenax ;;54;
Mycteroperca venenosa ;;60;
Mycteroperca xenarcha ;;60;
Myctophum punctatum  ;20;;
Myliobatis aquila  ;0.4;;
Myoxocephalus quadricornis  ;0.58;;
Myoxocephalus scorpioides  ;3.11;;
Myoxocephalus scorpius  ;20;;
Myxine glutinosa ;0.8;53;
Naucrates ductor;20;;
Nemadactylus bergi ;;31;
Nemadactylus macropterus ;;55;
Nemipterus virgatus ;;39;
Neoraja iberica  ;0.97;;
Nerophis lumbriciformis  ;20;;
Nettastoma melanurum  ;0.5;;
Nezumia aequalis  ;10.53;;
Nezumia sclerorhynchus  ;3.62;;
Nibea mitsukurii ;;54;
Normanichthys crockeri ;;34;
Notorynchus cepedianus ;;77;
Notoscopelus kr?yeri  ;8.04;;
Notothenia coriiceps ;;64;
Notothenia rossii ;;64;
Oblada melanura ;;33;
Ocyurus chrysurus ;;45;
Ophidion barbatum  ;20;;
Oncorhynchus gorbuscha ;;34;
Oncorhynchus keta ;;38;
Oncorhynchus kisutch ;;34;
Oncorhynchus masou masou ;;38;
Oncorhynchus mykiss ;;38;
Oncorhynchus nerka ;;38;
Oncorhynchus tshawytscha ;;41;
Ophiodon elongatus ;;66;
Opisthonema libertate ;;44;
Opisthonema oglinum ;;44;
Orcynopsis unicolor ;;64;
Orthopristis chrysoptera ;;66;
Osmerus eperlanus ;;30;
Osmerus mordax mordax ;;30;
Otolithes ruber ;;32;
Oxynotus centrina ;;90;
Pagellus acarne ;20;45;
Pagellus bellottii bellottii ;;45;
Pagellus bogaraveo ;0.71;52;
Pagellus erythrinus ;1.14;51;
Pagrus auriga ;;41;
Pagrus caeruleostictus ;;41;
Pagrus pagrus ;1.86;41;
Pampus argenteus ;;52;
Parablennius gattorugine  ;20;;
Paralabrax humeralis ;;53;
Paralichthys californicus ;;52;
Paralichthys dentatus ;0.52;47;
Paralichthys olivaceus ;;47;
Paralonchurus peruanus ;;60;
Parapercis colias ;;27;
Parastromateus niger ;;46;
Paristiopterus labiosus ;;60;
Parona signata ;;49;
Parophrys vetula ;;48;
Patagonotothen brevicauda brevicauda ;;35;
Patagonotothen ramsayi ;;35;
Pegusa lascaris ;1.22;36;
Pellona ditchela ;;18;
Pennahia argentata ;;32;
Pentanemus quinquarius ;;35;
Peprilus alepidotus ;;19;
Peprilus simillimus ;;40;
Peprilus triacanthus ;;19;
Percophis brasiliensis ;;47;
Petromyzon marinus ;;55;
Petrus rupestris ;;82;
Pholis gunnellus  ;11;;
Phrynorhombus norvegicus  ;20;;
Phycis blennoides ;0.28;49;
Phycis phycis ;;49;
Platichthys flesus ;1.66;46;
Platycephalus indicus ;;46;
Plectorhinchus mediterraneus ;;61;
Pleuragramma antarcticum ;;52;
Pleurogrammus azonus ;;45;
Pleurogrammus monopterygius ;;45;
Pleuronectes platessa ;0.87;59;
Pleuronectes quadrituberculatus ;;59;
Pleuronichthys decurrens ;;29;
Pogonias cromis ;;64;
Pollachius pollachius ;0.49;58;
Pollachius virens ;0.43;58;
Polydactylus quadrifilis ;;64;
Polymetme corythaeola  ;5.92;;
Polymetme thaeocoryla  ;7.97;;
Polyprion americanus ;0.31;69;
Polyprion oxygeneios ;;69;
Pomadasys argenteus ;;40;
Pomadasys incisus ;;40;
Pomadasys jubelini ;;47;
Pomatoschistus lozanoi  ;20;;
Pomatoschistus norvegicus  ;20;;
Pomatomus saltator ;;55;
Pontinus kuhlii ;;40;
Priacanthus macracanthus ;;27;
Prionace glauca ;0.85;77;
Psenopsis anomala ;;38;
Psettichthys melanostictus ;;46;
Psettodes belcheri ;;44;
Psettodes bennettii ;;44;
Psettodes erumei ;;44;
Pseudocaranx dentex ;;47;
Pseudochaenichthys georgianus ;;49;
Pseudopentaceros richardsoni ;;40;
Pseudopercis semifasciata ;;60;
Pseudophycis bachus ;;48;
Pseudopleuronectes americanus ;;50;
Pseudopleuronectes herzensteini ;;50;
Pseudosciaena crocea ;;71;
Pseudotolithus elongatus ;;47;
Pseudotolithus senegalensis ;;47;
Pseudotolithus senegallus ;;61;
Pseudupeneus prayensis ;;29;
Pterogymnus laniarius ;;64;
Pteroscion peli ;;48;
Pterothrissus belloci ;;45;
Pterycombus brama  ;20;;
Pterygotrigla picta ;;26;
Pterygotrigla polyommata ;;26;
Pungitius pungitius  ;20;;
Rachycentron canadum ;;57;
Raja asterias ;;49;
Raja brachyura  ;0.19;;
Raja clavata ;0.15;69;
Raja microocellata ;0.2;72;
Raja montagui ;0.27;49;
Raja undulata ;0.2;69;
Rajella bathyphila  ;0.26;;
Rajella fyllae  ;0.4;;
Rajella lintea  ;0.16;;
Raniceps raninus  ;3.11;;
Rastrelliger brachysoma ;;45;
Rastrelliger kanagurta ;;45;
Regalecus glesne ;;90;
Reinhardtius evermanni ;;60;
Reinhardtius hippoglossoides ;;60;
Reinhardtius stomias ;;75;
Rexea solandri ;;73;
Rhabdosargus globiceps ;;60;
Rhinobatos percellens ;;54;
Rhinobatos planiceps ;;54;
Rhinochimaera atlantica ;;47;
Rhizoprionodon terraenovae ;;46;
Rhomboplites aurorubens ;;59;
Rostroraja alba  ;0.05;;
Ruvettus pretiosus ;;90;
Salilota australis ;;50;
Salmo salar ;;48;
Salmo trutta ;;48;
Salvelinus alpinus ;;70;
Sarda chiliensis chiliensis ;;48;
Sarda chiliensis lineolata ;;53;
Sarda orientalis ;;54;
Sarda sarda ;6.84;48;
Sardina pilchardus ;20;49;
Sardinella aurita ;;43;
Sardinella brasiliensis ;;45;
Sardinella gibbosa ;;42;
Sardinella lemuru ;;42;
Sardinella longiceps ;;42;
Sardinella maderensis ;;44;
Sardinella zunasi ;;42;
Sardinops sagax ;;54;
Sarpa salpa ;1.57;50;
Saurida tumbil ;;21;
Saurida undosquamis ;;21;
Sciaena gilberti ;;48;
Sciaena umbra ;;48;
Sciaenops ocellatus ;;53;
Scomber australasicus ;;53;
Scomber colias  ;20;;
Scomber japonicus ;;51;
Scomber scombrus ;20;51;
Scomberesox saurus ;20;66;
Scomberomorus brasiliensis ;;46;
Scomberomorus cavalla ;;46;
Scomberomorus commerson ;;37;
Scomberomorus guttatus ;;48;
Scomberomorus lineolatus ;;46;
Scomberomorus maculatus ;;47;
Scomberomorus niphonius ;;37;
Scomberomorus regalis ;;37;
Scomberomorus sierra ;;47;
Scomberomorus tritor ;;47;
Scophthalmus aquosus ;;42;
Scophthalmus maximus ;0.46;51;
Scophthalmus rhombus ;0.32;42;
Scorpaena loppei  ;20;;
Scorpaena notata  ;20;;
Scorpaena porcus  ;3.31;;
Scorpaena scrofa ;0.33;61;
Scorpaenichthys marmoratus ;;46;
Scyliorhinus canicula ;0.31;52;
Scyliorhinus stellaris ;0.22;52;
Scymnodon ringens  ;0.57;;
Sebastes alutus ;;54;
Sebastes capensis ;;54;
Sebastes entomelas ;;58;
Sebastes flavidus ;;58;
Sebastes goodei ;;46;
Sebastes marinus ;;49;
Sebastes melanops ;;58;
Sebastes mentella ;;58;
Sebastes paucispinis ;;54;
Sebastes pinniger ;;46;
Sebastes viviparus ;16.88;58;
Sebastolobus alascanus ;;53;
Selar crumenophthalmus ;;15;
Selaroides leptolepis ;;48;
